song_id,song_name,artists,genres
5088394.0,八星報喜賀賀喜 : 八星報喜 / 財神到 / 恭喜你 / 喜氣洋洋 / 迎春花 / 大家恭喜 / 八星報喜,Twins,"c-pop,cantopop,classic cantopop"
18113962.0,What If I Told You That I Love You,Ali Gatie,"canadian hip hop,pop"
3984661.0,你最紅,Twins,"c-pop,cantopop,classic cantopop"
17265615.0,"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,"broadway,hollywood,movie tunes,show tunes"
14732788.0,Unity,Axel Thesleff,"bass trap,finnish edm"
7021727.0,See You Again (feat. Charlie Puth),"Wiz Khalifa,Charlie Puth","hip hop,pittsburgh rap,pop,pop rap,rap,southern hip hop,trap,dance pop,pop,post-teen pop,viral pop"
17277799.0,Easy,Camila Cabello,"dance pop,pop,post-teen pop"
18168627.0,Get Me,"Justin Bieber,Kehlani","canadian pop,dance pop,pop,post-teen pop,dance pop,pop,pop rap,post-teen pop,r&b,rap"
10554723.0,xanny,Billie Eilish,"electropop,pop"
13145269.0,Ballin' (with Roddy Ricch),"Mustard,Roddy Ricch","cali rap,hip hop,pop,pop rap,rap,southern hip hop,trap,melodic rap,rap,southern hip hop,trap"
4245210.0,Ocean Eyes,Billie Eilish,"electropop,pop"
10554388.0,i love you,Billie Eilish,"electropop,pop"
10124366.0,idontwannabeyouanymore,Billie Eilish,"electropop,pop"
18113695.0,Forever Yours - Avicii Tribute,"Kygo,Avicii,Sandro Cavazza","big room,edm,pop,edm,pop,tropical house,swedish pop"
13669607.0,I.F.L.Y.,Bazzi,"dance pop,pop,post-teen pop"
18198041.0,Physical,Dua Lipa,"dance pop,pop,post-teen pop,uk pop"
18204308.0,Only The Young - Featured in Miss Americana,Taylor Swift,"dance pop,pop,post-teen pop"
18158734.0,Anyone,Demi Lovato,"dance pop,pop,post-teen pop"
6243972.0,Blank Space,Taylor Swift,"dance pop,pop,post-teen pop"
18245556.0,Crossroads,GFRIEND,"k-pop,k-pop girl group"
18117535.0,高攀愛 (合唱版) [電影《我的筍盤男友》主題曲],"李靖筠,陳家樂",
12736430.0,Never Really Over,Katy Perry,"dance pop,pop,post-teen pop"
18244692.0,DUN DUN,EVERGLOW,"k-pop,k-pop girl group"
18266844.0,等等… (2019),Supper Moment,cantopop
10118857.0,Eastside (with Halsey & Khalid),"benny blanco,Halsey,Khalid","dance pop,electropop,etherpop,indie poptimism,pop,post-teen pop,pop,dance pop,edm,pop,tropical house"
18293259.0,Intentions,"Justin Bieber,Quavo","canadian pop,dance pop,pop,post-teen pop,atl hip hop,hip hop,melodic rap,pop,pop rap,rap,southern hip hop,trap"
18276200.0,Run,Joji,"alternative r&b,viral pop"
18255714.0,Know Your Worth,"Khalid,Disclosure","house,pop,uk dance,pop"
