,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
147,"Counting Stars",OneRepublic,833117,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
148,"Take Me To Church",Hozier,833054,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
149,"The Real Slim Shady",Eminem,831401,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
150,"The Nights",Avicii,830251,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
151,Memories,"Maroon 5",829877,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
152,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",829639,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
153,Shallow,"Lady Gaga",819789,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
154,"Goosebumps - Remix","Travis Scott",819420,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
155,"Quer Voar",Matuê,818982,https://open.spotify.com/track/7aZusA4cWXz3Wv9e9uhavz
156,goosebumps,"Travis Scott",817826,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
157,"ONE OF ME (feat. Elton John)","Lil Nas X",817225,https://open.spotify.com/track/3JR2RztQcOjUQGQSybxDIO
158,Loverboy,A-Wall,817164,https://open.spotify.com/track/0qXP5fMhxGzxALOkXYUxfP
159,"Obsessed With You","Central Cee",815888,https://open.spotify.com/track/4PYfFHKfjYz6dwAtZhBy1z
160,Riptide,"Vance Joy",812270,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
161,"Gangsta's Paradise",Coolio,811815,https://open.spotify.com/track/7lQWRAjyhTpCWFC0jmclT4
162,"Beautiful Mistakes (feat. Megan Thee Stallion)","Maroon 5",811112,https://open.spotify.com/track/5zFglKYiknIxks8geR8rcL
163,"Bala Love","Mc Anjim",810985,https://open.spotify.com/track/48Ll1C6qAnP2UjnopQDh4a
164,"Wants and Needs (feat. Lil Baby)",Drake,808102,https://open.spotify.com/track/65OVbaJR5O1RmwOQx0875b
165,"Mr. Brightside","The Killers",801493,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
166,"Every Breath You Take","The Police",798148,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
167,"Motley Crew","Post Malone",796739,https://open.spotify.com/track/40uMIn2zJLAQhNXghRjBed
168,"7 rings","Ariana Grande",796250,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
169,"Ranjha (From ""Shershaah"")","Jasleen Royal",796019,https://open.spotify.com/track/72zHuDxFQTjbL51qJQSA7j
170,"No Role Modelz","J. Cole",795039,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
171,"Here's Your Perfect","Jamie Miller",794546,https://open.spotify.com/track/2aTKrdenCq5qBOoJPFdn4P
172,"Mon Amour - Remix",zzoilo,794377,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
173,"Hold On","Justin Bieber",790436,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
174,"Wildest Dreams","Taylor Swift",790271,https://open.spotify.com/track/3fVnlF4pGqWI9flVENcT28
175,"DONT WANT IT","Lil Nas X",790058,https://open.spotify.com/track/4vsJWPwWPS27gRM4oLjBNO
176,"She Knows (feat. Amber Coffman & Cults)","J. Cole",786033,https://open.spotify.com/track/0Fs9cdPDhptWEDJmiCbkEW
177,"Jocelyn Flores",XXXTENTACION,784547,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
178,"All of Me","John Legend",783723,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
179,"Wake Me Up",Avicii,779866,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
180,"Adore You","Harry Styles",771963,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
181,"Roses - Imanbek Remix","SAINt JHN",768586,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
182,"A La Antigüita","Calibre 50",768179,https://open.spotify.com/track/798ahLNEcoFER7Vywg1FMT
183,"bad guy","Billie Eilish",767692,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
184,"Blank Space","Taylor Swift",767646,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
185,2/Catorce,"Rauw Alejandro",762260,https://open.spotify.com/track/0PwFN7vRvY80Hnkoew2x3f
186,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",759979,https://open.spotify.com/track/5gZYpjakt37G3c58FKcQwJ
187,Reckless,"Madison Beer",758221,https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh
188,"Botella Tras Botella","Gera MX",757550,https://open.spotify.com/track/2MnLkFqY9Rpg9s3Zv6ZJdK
189,"Your Love (9PM)",ATB,757095,https://open.spotify.com/track/5YaskwnGDZFDRipaqzbwQx
190,"Never Going Home",Kungs,756123,https://open.spotify.com/track/0xfMlIW8lS40qvpsUw1l0X
191,INFERNO,"Sub Urban",755078,https://open.spotify.com/track/7aonAWn0J0AJ47ZU9WHCXC
192,"Dreams - 2004 Remaster","Fleetwood Mac",752410,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
193,"Rumors (feat. Cardi B)",Lizzo,752268,https://open.spotify.com/track/6KgtcmCF9Ky68XC7ezxl3s
194,"Lucid Dreams","Juice WRLD",742536,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
195,TSU,Drake,741763,https://open.spotify.com/track/4s7QLoImIwmPi9L6dq1nVW
196,34+35,"Ariana Grande",739833,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
197,"Fiel - Remix",Wisin,738172,https://open.spotify.com/track/43qcs9NpJhDxtG91zxFkj7
198,Streets,"Doja Cat",738097,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
199,"Wow Wow (feat. Becky G)","Maria Becerra",733021,https://open.spotify.com/track/4Yip3hds5IHyT7AqoNHfmX
200,"Meu Pedaço de Pecado","João Gomes",730393,https://open.spotify.com/track/2kJRlOyrxsy7Ot3c5TZ8Q6
